mission,chan_id,subsystem,confidence,evidence
SMAP,A-1,attitude,high,"telemanom README: first letter indicates channel type; A = ACS/attitude per JPL standard mnemonic. DESCANSO SMAP §2.1.2: GNC subsystem provides attitude estimates and 3-axis control. GSAW 2020 Constantinou slide: channels grouped by subsystem including GNC/attitude group."
SMAP,A-2,attitude,high,"Same as A-1. README: anonymized channel IDs; first letter = type. A-prefix = attitude control system per JPL standard spacecraft telemetry naming."
SMAP,A-3,attitude,high,"Same as A-1."
SMAP,A-4,attitude,high,"Same as A-1."
SMAP,A-5,attitude,high,"Same as A-1."
SMAP,A-6,attitude,high,"Same as A-1."
SMAP,A-7,attitude,high,"Same as A-1."
SMAP,A-8,attitude,high,"Same as A-1."
SMAP,A-9,attitude,high,"Same as A-1."
SMAP,B-1,battery,high,"README: first letter indicates channel type. B = battery per standard spacecraft bus mnemonic. DESCANSO SMAP §2.1.3: Power subsystem includes four lithium-ion batteries as a distinct monitored component; battery channels often carry separate letter from general power."
SMAP,D-1,comms,medium,"DESCANSO SMAP §6.3.1 (p.45): 'those beginning with letter D are from the data management subsystem.' CDH/data-management in SMAP bundles command reception, downlink scheduling, solid-state recorder — operationally under comms. Mapped to comms; could also be argued as a 6th class."
SMAP,D-2,comms,medium,"Same as D-1. DESCANSO SMAP §2.1.5 describes CDH as part of avionics: command and data handling subsystem."
SMAP,D-3,comms,medium,"Same as D-1."
SMAP,D-4,comms,medium,"Same as D-1."
SMAP,D-5,comms,medium,"Same as D-1."
SMAP,D-6,comms,medium,"Same as D-1."
SMAP,D-7,comms,medium,"Same as D-1."
SMAP,D-8,comms,medium,"Same as D-1."
SMAP,D-9,comms,medium,"Same as D-1."
SMAP,D-11,comms,medium,"Same as D-1. (Note: D-10 absent; T-10 removed per GitHub issue #8; D-10 similarly not in released set.)"
SMAP,D-12,comms,medium,"Same as D-1."
SMAP,D-13,comms,medium,"Same as D-1."
SMAP,E-1,comms,high,"DESCANSO SMAP §6.3.1 (p.45): 'Channels that begin with the letter E are the responsibility of the telecom subsystem.' Example given: E-0008 = CB_SBAND_A_COHON = communications behavior S-band SBT-A coherency on. E channels = telecom = comms."
SMAP,E-2,comms,high,"Same as E-1. DESCANSO SMAP."
SMAP,E-3,comms,high,"Same as E-1."
SMAP,E-4,comms,high,"Same as E-1."
SMAP,E-5,comms,high,"Same as E-1."
SMAP,E-6,comms,high,"Same as E-1."
SMAP,E-7,comms,high,"Same as E-1."
SMAP,E-8,comms,high,"Same as E-1."
SMAP,E-9,comms,high,"Same as E-1."
SMAP,E-10,comms,high,"Same as E-1."
SMAP,E-11,comms,high,"Same as E-1."
SMAP,E-12,comms,high,"Same as E-1."
SMAP,E-13,comms,high,"Same as E-1."
SMAP,F-1,attitude,low,"telemanom README: first letter indicates type. F in SMAP context = fault protection (FSW); SMAP FSW fault protection is tightly coupled to GNC/attitude mode transitions (safe mode, sun-point). Ambiguous: could also be thermal (if F = flux sensor) or power. Best guess: attitude via FP-GNC linkage. Mark as low confidence."
SMAP,F-2,attitude,low,"Same as F-1."
SMAP,F-3,attitude,low,"Same as F-1."
SMAP,G-1,attitude,high,"telemanom README + JPL standard: G = GNC (guidance, navigation, and control). DESCANSO SMAP abbreviations list: 'CK: C kernel in SPICE; guidance, navigation, and control subsystem.' GNC = attitude subsystem."
SMAP,G-2,attitude,high,"Same as G-1."
SMAP,G-3,attitude,high,"Same as G-1."
SMAP,G-4,attitude,high,"Same as G-1."
SMAP,G-6,attitude,high,"Same as G-1. (G-5 absent from labeled_anomalies; not in released dataset.)"
SMAP,G-7,attitude,high,"Same as G-1."
SMAP,P-1,power,high,"DESCANSO SMAP §6.3.1 (p.45): 'those with letter P are from the power subsystem.' telemanom README: 'P = power.' Highest-confidence mapping in dataset."
SMAP,P-2,power,high,"Same as P-1. Note: P-2 appears twice in labeled_anomalies.csv (two separate anomaly events per GitHub issue #8)."
SMAP,P-3,power,high,"Same as P-1."
SMAP,P-4,power,high,"Same as P-1."
SMAP,P-7,power,high,"Same as P-1. (P-5, P-6 absent from released dataset.)"
SMAP,R-1,thermal,medium,"telemanom README: 'R = radiation, etc.' Radiation environment sensors (particle detectors, dosimeters) on SMAP bus monitor dose for thermal/survival heater decisions. No independent R-subsystem in SMAP 5-class schema; radiation monitoring operationally belongs to thermal control. Ambiguous vs. standalone 'radiation' class; mapped to thermal."
SMAP,S-1,power,high,"S in SMAP = solar array monitoring. DESCANSO SMAP §2.1.3: power subsystem major components include the three-panel solar array. Solar array telemetry (current, voltage, temperature) is owned by the power subsystem."
SMAP,T-1,thermal,high,"telemanom README: 'R = radiation, etc.' implies T = thermal. Standard JPL spacecraft mnemonic: T-prefix = temperature/thermal. DESCANSO SMAP §2.1.7: Thermal Subsystem 'measures and manages temperatures of spacecraft bus components.' T channels = thermal."
SMAP,T-2,thermal,high,"Same as T-1."
SMAP,T-3,thermal,high,"Same as T-1."
MSL,C-1,comms,high,"MSL-only prefix. DESCANSO MSL Chapter 8 §8.1.7.1: MSL telecom subsystem uses UHF (Electra), X-band SDST, SSPA all in WEB. C = comm/comms window management channels. MSL ISA reports for C-1/C-2 show comm-window anomalies (labeled_anomalies.csv contextual anomalies at comm-window transitions)."
MSL,C-2,comms,high,"Same as C-1."
MSL,D-14,comms,medium,"D-prefix = data management/CDH per DESCANSO SMAP §6 (same subsystem naming convention carried to MSL; MSL rover avionics handles CDH via rover compute elements RCE). Mapped to comms as closest 5-class label. DESCANSO MSL §8.1.7.1: rover avionics provide command, data handling, power regulation."
MSL,D-15,comms,medium,"Same as D-14."
MSL,D-16,comms,medium,"Same as D-14."
MSL,F-4,attitude,low,"MSL F channels: ambiguous. Possible fault-protection (GNC-linked → attitude) or possibly propulsion/mechanism. DESCANSO MSL §8.1.7: GNC used during surface traverse. Low confidence; attitude is best fit for 5-class schema. Alternative: comms if F = frequency/RF subsystem."
MSL,F-5,attitude,low,"Same as F-4."
MSL,F-7,attitude,low,"Same as F-4."
MSL,F-8,attitude,low,"Same as F-4."
MSL,M-1,thermal,medium,"MSL-only M prefix. MSL power is MMRTG (Multi-Mission Radioisotope Thermoelectric Generator). DESCANSO MSL §8.1.7.1: MMRTG generates constant heat; thermal control system manages waste heat via HRS fluid loop. M channels most likely monitor MMRTG temperatures/currents — owned by thermal subsystem. Ambiguous with power."
MSL,M-2,thermal,medium,"Same as M-1."
MSL,M-3,thermal,medium,"Same as M-1."
MSL,M-4,thermal,medium,"Same as M-1."
MSL,M-5,thermal,medium,"Same as M-1."
MSL,M-6,thermal,medium,"Same as M-1."
MSL,M-7,thermal,medium,"Same as M-1."
MSL,P-10,power,high,"P = power per telemanom README + DESCANSO SMAP §6 (convention consistent across SMAP/MSL JPL missions). DESCANSO MSL §8.1.7.1: rover power from MMRTG + two 42 A-hr batteries; power regulation by RPAM modules."
MSL,P-11,power,high,"Same as P-10."
MSL,P-14,power,high,"Same as P-10."
MSL,P-15,power,high,"Same as P-10."
MSL,S-2,power,high,"S = solar/power analog. For MSL, S-2 is most likely a power-source monitor (MMRTG output or battery state-of-charge). DESCANSO MSL §8.1.7.1: power from MMRTG; battery SOC monitored. No solar array on MSL (RTG-powered), so S may reference 'source power.' Mapped to power."
MSL,T-4,thermal,high,"T = thermal per telemanom README convention + JPL standard. DESCANSO MSL §8.1.7.1: Thermal Control monitors wide Martian temperature range; electronic heaters, HRS fluid loop, RAMP temperature. T channels = thermal."
MSL,T-5,thermal,high,"Same as T-4."
MSL,T-8,thermal,high,"Same as T-4."
MSL,T-9,thermal,high,"Same as T-4."
MSL,T-12,thermal,high,"Same as T-4."
MSL,T-13,thermal,high,"Same as T-4."